Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(1598.909, 72.262, 7949)","(1310.396, 82.812, 2532)","(3596, 88, 2183)","(4606.22, 96, 1955)","(5979.79, 120.242, 1782)","(8224.87, 129.777, 1807)","(8704.45, 132.046, 1809)"
DBB,"(2372.45, 79.716, 2169)","(2382.05, 68.763, 1421)","(3119.96, 87.227, 1504)","(5096.21, 100.478, 1488)","(7926.46, 123.497, 1389)","(9128.06, 130.047, 1377)","(9942.4, 131.856, 1377)"
MANN,"(1709.72, 72, 41034)","(2596.1, 72.498, 38368)","(3221.42, 78.166, 37887)","(4379.7, 101.628, 37724)","(8039.55, 123.098, 36271)","(8654.85, 128.639, 35941)","(8568.41, 131.848, 35945)"
QBL,"(1462.72, 69.668, 15060)","(1208.641, 81.338, 4545)","(2975.9, 97.186, 4609)","(4815, 97.16, 3566)","(6348.24, 118.506, 3351)","(7598.72, 127.38, 3362)","(7887.37, 129.109, 3350)"
SSTO,"(1694.55, 69.975, 17601)","(2317.39, 80.223, 10387)","(3427.23, 87.168, 5210)","(6175.62, 97.735, 4668)","(8276.22, 119.89, 4629)","(9746.92, 128.564, 4634)","(9778.13, 131.173, 4635)"
