Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(28, 0.88435, 267133)","(28, 0.88438, 235115)","(28, 0.88452, 52590)","(28, 0.88411, 9290)","(29, 0.88473, 2521)","(31, 0.88472, 1978)","(32, 0.892147, 2012)"
DBB,"(27, 0.85295, 166810)","(29, 0.88385, 124713)","(29, 0.85159, 20872)","(29, 0.88449, 38444)","(30, 0.88236, 1958)","(31, 0.890823, 1756)","(32, 0.887135, 1666)"
MANN,"(27, 0.806364, 117928)","(28, 0.84422, 85351)","(29, 0.88361, 26468)","(29, 0.88361, 71525)","(30, 0.88936, 63010)","(31, 0.88996, 63021)","(32, 0.89212, 62552)"
QBL,"(27, 0.88402, 226449)","(28, 0.88216, 197726)","(29, 0.85799, 60232)","(29, 0.88579, 11126)","(30, 0.88968, 3658)","(32, 0.88932, 3216)","(32, 0.887833, 3206)"
SSTO,"(27, 0.887849, 145394)","(28, 0.88096, 65301)","(29, 0.88543, 55871)","(29, 0.88547, 11330)","(30, 0.88654, 3564)","(32, 0.89024, 3278)","(31, 0.892288, 3577)"
