Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(765.937, 64.046, 7921)","(1589.416, 77.983, 2532)","(1958.51, 75.925, 2220)","(4225.73, 82.48, 1948)","(9590.5, 87.798, 1779)","(13343.4, 90.238, 1810)","(8977.7, 92.405, 1810)"
DBB,"(790.306, 67.719, 2191)","(1161.8, 68.856, 1415)","(1730.6, 89.938, 1496)","(2303.64, 84.3, 1472)","(11899.8, 87.363, 1385)","(9137.75, 88.369, 1377)","(9058.5, 89.086, 1377)"
MANN,"(796.255, 67.203, 41028)","(967.963, 72.98, 38379)","(1566.1, 75.689, 37898)","(6970.87, 83.561, 37728)","(8909.15, 87.975, 36263)","(8623.57, 90.763, 35941)","(7554.58, 91.207, 35940)"
QBL,"(945.674, 66.185, 15062)","(1366.663, 77.856, 4566)","(1557.74, 74.092, 4610)","(5114.54, 81.336, 3561)","(14521.5, 86.683, 3349)","(8387.48, 89.768, 3356)","(25142.1, 90.344, 3343)"
SSTO,"(910.786, 68.722, 17626)","(1307.94, 70.086, 10471)","(4054.91, 75.636, 5150)","(6959.92, 81.603, 4671)","(12763.1, 87.746, 4611)","(11673.8, 88.604, 4634)","(13682.8, 89.361, 4637)"
