Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(152.085, 48.656, 214501)","(298.062, 48.6541, 55728)","(214.842, 48.6535, 58810)","(223.597, 48.6549, 30773)","(304.047, 48.6548, 7191)","(323.193, 48.6554, 2730)","(235.607, 48.6554, 3321)"
DBB,"(249.93, 48.6558, 300959)","(216.433, 48.6544, 232041)","(156.7, 48.653, 69683)","(308.063, 48.6527, 163650)","(386.239, 48.6551, 9139)","(262.645, 48.6564, 12533)","(241.1, 48.6548, 6437)"
MANN,"(141.848, 48.6556, 373925)","(173.717, 48.6549, 287901)","(161.447, 48.6529, 251618)","(282.48, 48.6539, 182231)","(186.988, 48.6587, 47942)","(219.84, 48.6548, 167447)","(298.696, 48.6563, 45393)"
QBL,"(403.215, 48.6547, 264995)","(198.717, 48.6542, 86840)","(260.938, 48.6534, 60647)","(242.211, 48.6539, 28442)","(306.958, 48.6542, 10260)","(174.458, 48.6561, 9841)","(307.241, 48.6568, 9727)"
SSTO,"(172.133, 48.6549, 391917)","(161.967, 48.6529, 264272)","(169.622, 48.6546, 155298)","(177.662, 48.6549, 104480)","(291.183, 48.6551, 10317)","(181.699, 48.6537, 114937)","(376.094, 48.6549, 4387)"
