Read,13H,25H,49H,7H,3H
APD,"(418.546, 28.352, 6361)","(1356.47, 63.02, 4253)","(4827.57, 133.318, 1809)","(176.88, 12.963, 7026)","(68.745, 4.482, 16978)"
DBB,"(452.354, 28.288, 32501)","(1088.62, 59.626, 31521)","(5125.83, 134.144, 1377)","(164.608, 12.715, 29336)","(56.832, 4.305, 148654)"
MANN,"(702.953, 28.959, 40921)","(1637.3, 59.313, 38174)","(5002.12, 133.805, 35945)","(161.217, 12.583, 57905)","(58.533, 4.283, 179190)"
QBL,"(1230.65, 41.043, 113410)","(1168.26, 62.107, 5032)","(3993.07, 131.033, 3343)","(510.192, 18.922, 115597)","(79.25, 5.467, 61731)"
SSTO,"(439.523, 27.759, 9807)","(1233.36, 59.182, 4307)","(4548.47, 137.328, 4636)","(171.339, 12.438, 17018)","(55.036, 4.208, 134337)"
