Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(245.57, 15.9344, 32211)","(209.56, 15.9385, 28903)","(277.25, 15.9385, 27552)","(252.47, 15.9386, 26971)","(208.51, 15.9351, 27099)","(276.52, 15.959, 26991)","(261.48, 15.9388, 26927)"
DBB,"(211.9, 15.9348, 156907)","(259.93, 15.9389, 146900)","(244.73, 15.9348, 152216)","(183.19, 15.9386, 152436)","(224.6, 15.9347, 152198)","(254.17, 15.9386, 152765)","(195.92, 15.9387, 151576)"
MANN,"(199.45, 15.9387, 204078)","(260.07, 15.9387, 202055)","(196.58, 15.9387, 201393)","(199.62, 15.9386, 200077)","(277.8, 15.9389, 199825)","(248.77, 15.9387, 194777)","(273.78, 15.9352, 194878)"
QBL,"(262.58, 15.9384, 78365)","(274.41, 15.9361, 69750)","(259.53, 15.9386, 70137)","(238.27, 15.9393, 69727)","(251.76, 15.9385, 70460)","(166.65, 15.9386, 69074)","(233.11, 15.9386, 69041)"
SSTO,"(256.03, 15.9387, 149357)","(174.22, 15.9384, 140323)","(177.37, 15.9387, 137837)","(208.45, 15.9359, 138412)","(202, 15.9387, 139329)","(253.63, 15.9358, 137826)","(198.18, 15.9387, 137836)"
