Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(681.796, 64.709, 7921)","(1460.360, 77.341, 2532)","(2762.74, 62.965, 1948)","(6626.15, 72.553, 1783)","(4226.2, 63.07, 984)","(11285.3, 77.995, 1807)","(6694.57, 79.229, 1807)"
DBB,"(1050.98, 56.677, 2197)","(1693.58, 67.207, 1420)","(2277.72, 64.748, 1493)","(3944.37, 86.68, 1472)","(8115.05, 74.008, 1385)","(12568.5, 88.773, 1377)","(12475.6, 78.311, 1377)"
MANN,"(978.24, 56.051, 41034)","(1412.99, 58.921, 38389)","(2204.65, 63.789, 37893)","(6373.56, 75.168, 37726)","(9189.31, 75.322, 36263)","(10114.5, 89.599, 35948)","(7089.43, 79.211, 35946)"
QBL,"(1161.55, 56.64, 15085)","(1334.835, 78.004, 4566)","(1637.9, 60.094, 4616)","(3088.75, 74.834, 3566)","(7734.43, 62.067, 3351)","(20084.4, 76.832, 3354)","(26766.7, 77.971, 3342)"
SSTO,"(1245.29, 58.023, 17670)","(1326.63, 58.045, 10477)","(5217.01, 59.579, 5160)","(7090.36, 74.156, 4663)","(9440.81, 77.247, 4619)","(11563, 77.524, 4636)","(9481.5, 79.753, 4637)"
