Read,0.1x,0.5x,1x,2x,5x,10x,15x
APD,"(1840.305, 72.149, 7551)","(1294.032, 83.522, 2272)","(2338.41, 92.686, 2220)","(2702.32, 108.266, 1948)","(4671.31, 124.581, 1779)","(3683.2, 133.505, 1810)","(4536.49, 133.583, 1810)"
DBB,"(1604.38, 70.362, 2191)","(1466.88, 82.99, 1415)","(2022.37, 91.967, 1496)","(2502.39, 107.665, 1472)","(4175.16, 126.336, 1385)","(4525.17, 132.145, 1377)","(4742.57, 134.928, 1377)"
MANN,"(1680.34, 66.895, 41028)","(1657.8, 84.705, 38379)","(2183.18, 93.719, 37898)","(3053.52, 108.603, 37728)","(3773.91, 126.025, 36263)","(5425.57, 132.033, 35941)","(4842.8, 134.276, 35940)"
QBL,"(2221.91, 88.288, 15062)","(1236.242, 81.486, 7829)","(2388.14, 92.22, 4610)","(2980.66, 109.46, 3561)","(3985.66, 122.581, 3349)","(4049.38, 129.442, 3356)","(4113.35, 131.098, 3343)"
SSTO,"(2013.08, 71.994, 17626)","(1811.8, 83.982, 10471)","(2536.32, 92.798, 5150)","(2977.36, 107.773, 4671)","(5022.87, 124.038, 4611)","(5021.07, 132.386, 4634)","(4498.54, 136.995, 4637)"
